/homes/as3159/.local/lib/python3.6/site-packages/torch/nn/modules/container.py:141: UserWarning: Implicit dimension choice for softmax has been deprecated. Change the call to include dim=X as an argument.
  input = module(input)
Torchviz was not found.
Current task: 0
Epoch: 0043 cost= 52.385047913
Epoch: 0044 cost= 52.374092102
Epoch: 0045 cost= 52.362720490
Epoch: 0046 cost= 52.351661682
Epoch: 0047 cost= 52.340366364
Epoch: 0048 cost= 52.329349518
Epoch: 0049 cost= 52.318027496
Epoch: 0050 cost= 52.306968689
Epoch: 0051 cost= 52.295982361
Epoch: 0052 cost= 52.284629822
Epoch: 0053 cost= 52.273540497
Epoch: 0054 cost= 52.262512207
Epoch: 0055 cost= 52.251522064
Epoch: 0056 cost= 52.240428925
Epoch: 0057 cost= 52.229213715
Epoch: 0058 cost= 52.218170166
Epoch: 0059 cost= 52.207107544
Epoch: 0060 cost= 52.196178436
Epoch: 0061 cost= 52.184970856
Epoch: 0062 cost= 52.173912048
Epoch: 0063 cost= 52.163002014
Epoch: 0064 cost= 52.151912689
Epoch: 0065 cost= 52.140968323
Epoch: 0066 cost= 52.129997253
Epoch: 0067 cost= 52.118999481
Epoch: 0068 cost= 52.107959747
Epoch: 0069 cost= 52.096916199
Epoch: 0070 cost= 52.086040497
Epoch: 0071 cost= 52.075126648
Epoch: 0072 cost= 52.064102173
Epoch: 0073 cost= 52.053249359
Epoch: 0074 cost= 52.042209625
Epoch: 0075 cost= 52.031322479
Epoch: 0076 cost= 52.020324707
Epoch: 0077 cost= 52.009395599
Epoch: 0078 cost= 51.998573303
Epoch: 0079 cost= 51.987579346
Epoch: 0080 cost= 51.976730347
Epoch: 0081 cost= 51.965885162
Epoch: 0082 cost= 51.955299377
Epoch: 0083 cost= 51.944103241
Epoch: 0084 cost= 51.933246613
Epoch: 0085 cost= 51.922313690
Epoch: 0086 cost= 51.911388397
Epoch: 0087 cost= 51.900669098
Epoch: 0088 cost= 51.889915466
Epoch: 0089 cost= 51.878875732
Epoch: 0090 cost= 51.868103027
Epoch: 0091 cost= 51.857223511
Epoch: 0092 cost= 51.846515656
Epoch: 0093 cost= 51.835571289
Epoch: 0094 cost= 51.824733734
Epoch: 0095 cost= 51.813991547
Epoch: 0096 cost= 51.803230286
Epoch: 0097 cost= 51.792358398
Epoch: 0098 cost= 51.781551361
Epoch: 0099 cost= 51.770912170
Epoch: 0100 cost= 51.759876251
Epoch: 0101 cost= 51.749176025
Epoch: 0102 cost= 51.738307953
Epoch: 0103 cost= 51.727714539
Epoch: 0104 cost= 51.716869354
Epoch: 0105 cost= 51.705963135
Epoch: 0106 cost= 51.695396423
Epoch: 0107 cost= 51.684535980
Epoch: 0108 cost= 51.673805237
Epoch: 0109 cost= 51.662990570
Epoch: 0110 cost= 51.652221680
Epoch: 0111 cost= 51.641464233
Epoch: 0112 cost= 51.630767822
Epoch: 0113 cost= 51.619945526
Epoch: 0114 cost= 51.609577179
Epoch: 0115 cost= 51.598484039
Epoch: 0116 cost= 51.587791443
