/homes/as3159/.local/lib/python3.6/site-packages/torch/nn/modules/container.py:141: UserWarning: Implicit dimension choice for softmax has been deprecated. Change the call to include dim=X as an argument.
  input = module(input)
Torchviz was not found.
Current task: 0
Epoch: 0001 cost= 0.805838406
Epoch: 0002 cost= 0.351896107
Epoch: 0003 cost= 0.160481155
Epoch: 0004 cost= 0.080309518
Epoch: 0005 cost= 0.047745805
Epoch: 0006 cost= 0.032810606
Epoch: 0007 cost= 0.024655953
Epoch: 0008 cost= 0.019512713
Epoch: 0009 cost= 0.015965017
Epoch: 0010 cost= 0.013431871
Epoch: 0011 cost= 0.011588342
Epoch: 0012 cost= 0.010234244
Epoch: 0013 cost= 0.009228678
Epoch: 0014 cost= 0.008461851
Epoch: 0015 cost= 0.007858010
Epoch: 0016 cost= 0.007353613
Epoch: 0017 cost= 0.006905861
Epoch: 0018 cost= 0.006486132
Epoch: 0019 cost= 0.006082562
Epoch: 0020 cost= 0.005690784
Epoch: 0021 cost= 0.005311387
Epoch: 0022 cost= 0.004949817
Epoch: 0023 cost= 0.004611138
Epoch: 0024 cost= 0.004298385
Epoch: 0025 cost= 0.004010056
Epoch: 0026 cost= 0.003742906
Epoch: 0027 cost= 0.003498367
Epoch: 0028 cost= 0.003272146
Epoch: 0029 cost= 0.003061657
Epoch: 0030 cost= 0.002861667
Epoch: 0031 cost= 0.002674743
Epoch: 0032 cost= 0.002502719
Epoch: 0033 cost= 0.002345922
Epoch: 0034 cost= 0.002206183
Epoch: 0035 cost= 0.002083361
Epoch: 0036 cost= 0.001974886
Epoch: 0037 cost= 0.001877407
Epoch: 0038 cost= 0.001786416
Epoch: 0039 cost= 0.001700807
Epoch: 0040 cost= 0.001620593
Epoch: 0041 cost= 0.001547229
Epoch: 0042 cost= 0.001483168
Epoch: 0043 cost= 0.001424960
Epoch: 0044 cost= 0.001370025
Epoch: 0045 cost= 0.001316807
Epoch: 0046 cost= 0.001263426
Epoch: 0047 cost= 0.001209232
Epoch: 0048 cost= 0.001155872
Epoch: 0049 cost= 0.001103032
Epoch: 0050 cost= 0.001052166
Epoch: 0051 cost= 0.001005431
Epoch: 0052 cost= 0.000962537
Epoch: 0053 cost= 0.000922912
Epoch: 0054 cost= 0.000885287
