/homes/as3159/.local/lib/python3.6/site-packages/torch/nn/modules/container.py:141: UserWarning: Implicit dimension choice for softmax has been deprecated. Change the call to include dim=X as an argument.
  input = module(input)
Torchviz was not found.
Current task: 0
Epoch: 0001 cost= 0.544903278
Epoch: 0002 cost= 0.216078520
Epoch: 0003 cost= 0.092032380
Epoch: 0004 cost= 0.045379259
Epoch: 0005 cost= 0.027265530
Epoch: 0006 cost= 0.019060154
Epoch: 0007 cost= 0.014563199
Epoch: 0008 cost= 0.011679464
Epoch: 0009 cost= 0.009677564
Epoch: 0010 cost= 0.008238832
Epoch: 0011 cost= 0.007186065
Epoch: 0012 cost= 0.006407643
Epoch: 0013 cost= 0.005817966
Epoch: 0014 cost= 0.005365952
Epoch: 0015 cost= 0.004999097
Epoch: 0016 cost= 0.004684405
Epoch: 0017 cost= 0.004405082
Epoch: 0018 cost= 0.004146949
Epoch: 0019 cost= 0.003899885
Epoch: 0020 cost= 0.003658728
Epoch: 0021 cost= 0.003425053
Epoch: 0022 cost= 0.003197336
Epoch: 0023 cost= 0.002977677
Epoch: 0024 cost= 0.002766805
Epoch: 0025 cost= 0.002567711
Epoch: 0026 cost= 0.002383728
Epoch: 0027 cost= 0.002217373
Epoch: 0028 cost= 0.002067770
Epoch: 0029 cost= 0.001934667
Epoch: 0030 cost= 0.001816885
Epoch: 0031 cost= 0.001711175
Epoch: 0032 cost= 0.001615711
Epoch: 0033 cost= 0.001529183
Epoch: 0034 cost= 0.001449823
Epoch: 0035 cost= 0.001374510
Epoch: 0036 cost= 0.001301428
Epoch: 0037 cost= 0.001231143
Epoch: 0038 cost= 0.001163586
Epoch: 0039 cost= 0.001099147
Epoch: 0040 cost= 0.001038570
Epoch: 0041 cost= 0.000982240
Epoch: 0042 cost= 0.000929792
Epoch: 0043 cost= 0.000880731
Epoch: 0044 cost= 0.000834033
Epoch: 0045 cost= 0.000788711
Epoch: 0046 cost= 0.000744301
Epoch: 0047 cost= 0.000700420
Epoch: 0048 cost= 0.000657544
Epoch: 0049 cost= 0.000615500
Epoch: 0050 cost= 0.000575356
Epoch: 0051 cost= 0.000537825
Epoch: 0052 cost= 0.000503000
Epoch: 0053 cost= 0.000471215
Epoch: 0054 cost= 0.000442386
