/homes/as3159/.local/lib/python3.6/site-packages/torch/nn/modules/container.py:141: UserWarning: Implicit dimension choice for softmax has been deprecated. Change the call to include dim=X as an argument.
  input = module(input)
Torchviz was not found.
Current task: 0
Epoch: 0043 cost= 52.387962341
Epoch: 0044 cost= 52.376792908
Epoch: 0045 cost= 52.366073608
Epoch: 0046 cost= 52.354476929
Epoch: 0047 cost= 52.343437195
Epoch: 0048 cost= 52.332160950
Epoch: 0049 cost= 52.321216583
Epoch: 0050 cost= 52.309921265
Epoch: 0051 cost= 52.298789978
Epoch: 0052 cost= 52.287723541
Epoch: 0053 cost= 52.276618958
Epoch: 0054 cost= 52.265628815
Epoch: 0055 cost= 52.254417419
Epoch: 0056 cost= 52.243408203
Epoch: 0057 cost= 52.232425690
Epoch: 0058 cost= 52.221214294
Epoch: 0059 cost= 52.210243225
Epoch: 0060 cost= 52.199192047
Epoch: 0061 cost= 52.188079834
Epoch: 0062 cost= 52.177150726
Epoch: 0063 cost= 52.166194916
Epoch: 0064 cost= 52.155097961
Epoch: 0065 cost= 52.144107819
Epoch: 0066 cost= 52.133056641
Epoch: 0067 cost= 52.122230530
Epoch: 0068 cost= 52.111186981
Epoch: 0069 cost= 52.100135803
Epoch: 0070 cost= 52.089202881
Epoch: 0071 cost= 52.078250885
Epoch: 0072 cost= 52.067264557
Epoch: 0073 cost= 52.056297302
Epoch: 0074 cost= 52.045475006
Epoch: 0075 cost= 52.034515381
Epoch: 0076 cost= 52.023536682
Epoch: 0077 cost= 52.012733459
Epoch: 0078 cost= 52.001892090
Epoch: 0079 cost= 51.990783691
Epoch: 0080 cost= 51.980289459
Epoch: 0081 cost= 51.969070435
Epoch: 0082 cost= 51.958133698
Epoch: 0083 cost= 51.947402954
Epoch: 0084 cost= 51.936656952
Epoch: 0085 cost= 51.925537109
Epoch: 0086 cost= 51.914680481
Epoch: 0087 cost= 51.903823853
Epoch: 0088 cost= 51.893005371
Epoch: 0089 cost= 51.882286072
Epoch: 0090 cost= 51.871299744
Epoch: 0091 cost= 51.860443115
Epoch: 0092 cost= 51.849601746
Epoch: 0093 cost= 51.838821411
Epoch: 0094 cost= 51.827896118
Epoch: 0095 cost= 51.817192078
Epoch: 0096 cost= 51.806327820
Epoch: 0097 cost= 51.795494080
Epoch: 0098 cost= 51.784866333
Epoch: 0099 cost= 51.773921967
Epoch: 0100 cost= 51.763103485
Epoch: 0101 cost= 51.752235413
Epoch: 0102 cost= 51.741539001
Epoch: 0103 cost= 51.730644226
